image_path,class,split
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/42.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage alternaria leaf spot/google_0012.jpg,cabbage alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber angular leaf spot/google_0011.jpg,cucumber angular leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/zucchini yellow mosaic virus/65.jpg,zucchini yellow mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf/google_0346.jpg,tomato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0002.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn smut/google_0150.jpg,corn smut,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean leaf/114.jpg,bean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/google_0101.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/google_0051.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf/27.jpg,garlic leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/celery leaf/214.jpg,celery leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/google_0028.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/google_0048.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn northern leaf blight/28.jpg,corn northern leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry powdery mildew/109.jpg,cherry powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/google_0033.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple tar spot/google_0203.jpg,maple tar spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry leaf/google_0637.jpg,strawberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato septoria leaf spot/google_0187.jpg,tomato septoria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean halo blight/google_0212.jpg,bean halo blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0289.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/coffee leaf/162.jpg,coffee leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/230.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage alternaria leaf spot/google_0102.jpg,cabbage alternaria leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple scab/google_0206.jpg,apple scab,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/google_0098.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/strawberry leaf scorch/google_0026.jpg,strawberry leaf scorch,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/google_0097.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice sheath blight/30.jpg,rice sheath blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bell pepper leaf/266.jpg,bell pepper leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato leaf/64.jpg,tomato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/141.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce downy mildew/33.jpg,lettuce downy mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/241.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/39.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cauliflower leaf/google_0142.jpg,cauliflower leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/carrot cavity spot/google_0186.jpg,carrot cavity spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/378 - Copy (2).jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato late blight/101.jpg,potato late blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/45.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry powdery mildew/google_0055.jpg,cherry powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/156.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple rust/google_0083.jpg,apple rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn gray leaf spot/google_0063.jpg,corn gray leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/google_0211.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/lettuce leaf/google_0096.jpg,lettuce leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/soybean leaf/google_0002.jpg,soybean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/google_0006.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/apple mosaic virus/google_0067.jpg,apple mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/google_0179.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cucumber powdery mildew/google_0150.jpg,cucumber powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/maple leaf/69.jpg,maple leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry powdery mildew/10.jpg,cherry powdery mildew,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/400.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/corn rust/google_0109.jpg,corn rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/6.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/grapevine leafroll disease/17 - Copy (4).jpg,grapevine leafroll disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/banana leaf/302.jpg,banana leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean rust/google_0032.jpg,bean rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/ginger leaf/google_0041.jpg,ginger leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/blueberry rust/google_0009.jpg,blueberry rust,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus canker/379.jpg,citrus canker,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/soybean leaf/311.jpg,soybean leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cherry leaf spot/google_0081.jpg,cherry leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf blight/47.jpg,garlic leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/tomato bacterial leaf spot/google_0158.jpg,tomato bacterial leaf spot,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/garlic leaf blight/46.jpg,garlic leaf blight,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice leaf/284.jpg,rice leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/potato leaf/google_0068.jpg,potato leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/citrus greening disease/11.jpg,citrus greening disease,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/raspberry leaf/google_0138.jpg,raspberry leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/bean mosaic virus/google_0071.jpg,bean mosaic virus,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/cabbage leaf/98.jpg,cabbage leaf,train
/Users/juanluis/Documents/Projects/computer-vision-portfolio/plantwild/images/rice leaf/269.jpg,rice leaf,train
